time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,p_radps,q_radps,r_radps,mass_kg,throttle,gimbal_pitch_rad,gimbal_yaw_rad,tilt_deg,dynamic_pressure_pa
0.0,12.0,-8.0,120.0,-1.0,0.6,-18.0,0.999011461133737,0.03487207852388615,-0.02615405889291461,0.008718019630971538,1.8452300362238613e-05,0.004481183062627048,-0.0041120678304332635,1350.0,0.18549874999999993,0.13962634015954636,-0.13962634015954636,4.996640508364582,200.69068765720968
0.02,11.980049504705617,-7.988103790167556,119.6385434415154,-0.9950498198453422,0.5896222901087222,-18.145649824146414,0.9990137004045994,0.034795276029769256,-0.026185486647647017,0.00867383761362531,-0.0156616700174011,-0.010919295522634435,-0.004098780960938702,1349.9761074384048,0.18548573300060178,0.13962634015954636,-0.13962634015954636,4.991762630017252,203.86614762380623
0.04,11.960197944193673,-7.976415007286522,119.2741742642663,-0.9901090893448923,0.5792597450071647,-18.2912610650906,0.9990173111810428,0.03456326063448609,-0.02637200915055391,0.008620331100087721,-0.03132074272721773,-0.026295415868627423,-0.004085328624970201,1349.9522165534217,0.18547271691464517,0.13962634015954636,-0.13962634015954636,4.983473313803087,207.0669566483903
0.06,11.940444975511008,-7.964933201699883,118.90689328846913,-0.9851931997454184,0.5689269985823376,-18.436828875239332,0.9990220969095255,0.034176233160596294,-0.026713363701629158,0.008557521439750637,-0.04695754869947618,-0.04164592684666026,-0.004071711086219495,1349.9283273449332,0.18545970174206594,0.13962634015954636,-0.13962634015954636,4.972270306222151,210.2930550985569
0.08,11.920789948160943,-7.953657631191425,118.53670143073988,-0.9803175143572972,0.5586386736376817,-18.582348466906485,0.9990277173701443,0.03363440188974893,-0.027209270886229733,0.008485429485760558,-0.0625708360851748,-0.05696954338083042,-0.004057928653342379,1349.9044398128215,0.18544668748280024,0.13962634015954636,-0.13962634015954636,4.959029957003605,213.54438026177894
0.1,11.901231904650151,-7.942587261161699,118.16359970261553,-0.975497369714991,0.5484093864357786,-18.72781514034143,0.9990336894780798,0.03293798320584514,-0.027859434000408724,0.008404075637698783,-0.07815931823130721,-0.07226494638270452,-0.004043981680267831,1349.8805539569692,0.1854336741367839,0.13962634015954636,-0.13962634015954636,4.945013430888408,216.82086705851088
0.12,11.881769581013986,-7.9317207647149655,117.78758920851612,-0.9707480765639783,0.5382537510500671,-18.873224311627556,0.9990393881452553,0.032087202350217316,-0.028663538368399317,0.008313479890747759,-0.09372167361851992,-0.08753078270769477,-0.004029870566441391,1349.8566697772583,0.18542066170395266,0.13962634015954636,-0.13962634015954636,4.931872684186928,220.12244878648713
0.14,11.862401407324162,-7.921056522661378,117.40867114315019,-0.9660849206300179,0.5281863834820042,-19.018571540450484,0.9990440472050223,0.031082294287203948,-0.02962125055410752,0.008213661891243097,-0.10925654582321347,-0.10276566513523003,-0.004015595757001579,1349.8327872735715,0.18540765018424266,0.13962634015954636,-0.13962634015954636,4.921652741756208,223.44905789582185
0.16,11.8431255081836,-7.910592623439531,117.02684678836609,-0.9615231631272313,0.5182219055005082,-19.163852557734398,0.9990467604028908,0.029923504678346282,-0.03073221746863689,0.008104640998503056,-0.12476254350640856,-0.11796817237496654,-0.004001157742888266,1349.808906445791,0.18539463957758973,0.13962634015954636,-0.13962634015954636,4.916785598228428,226.80062679449486
0.18,11.823939703214082,-7.900326862965351,116.64211750945204,-0.957078040962129,0.5083749481609424,-19.30906329314332,0.9990464824565101,0.02861109096327136,-0.031996065376041126,0.007986436352819088,-0.14023824043184724,-0.13313684910142773,-0.003986557060882056,1349.7850272937994,0.1853816298839298,0.13962634015954636,-0.13962634015954636,4.920070019362878,230.17708868377866
0.2,11.804841507543205,-7.890256744414165,116.25448475088743,-0.9527647665914065,0.49866015496134664,-19.45419990244266,0.9990420301883017,0.027145323545156932,-0.033412398799680554,0.00785906694948241,-0.15568217551594568,-0.14827020601960553,-0.003971794293573909,1349.7611498174788,0.18536862110319874,0.13962634015954636,-0.13962634015954636,4.934631028790849,233.5783784231169
0.22,11.785828132298004,-7.880379477943621,115.86395003154843,-0.9485985274920857,0.48909218459411036,-19.59925879471442,0.9990320837342991,0.02552648707849582,-0.03498079933174526,0.0077225517187122835,-0.1710928529123589,-0.163366719964195,-0.003956870069264362,1349.7372740167118,0.18535561323533256,0.13962634015954636,-0.13962634015954636,4.963853493217592,237.0044334239223
0.24,11.766896485113373,-7.870691980365968,115.47051493937073,-0.9445944852033927,0.4796857132518095,-19.744236659417574,0.9990151878329189,0.023754881856691754,-0.036700824348702255,0.00757690961134199,-0.18646874213405762,-0.17842483403527012,-0.003941785061791906,1349.7133998913807,0.1853426062802671,0.13962634015954636,-0.13962634015954636,5.011286559958788,240.45519457170698
0.26,11.748043170664273,-7.8611908747790125,115.07418112547285,-0.9407677739006455,0.4704554364465022,-19.889130493282945,0.9989897531975187,0.021830825296824608,-0.03857200563562487,0.007422159690108239,-0.20180827821595318,-0.19344295777334056,-0.003926539990290201,1349.6895274413682,0.18532960023793843,0.13962634015954636,-0.13962634015954636,5.080520084387962,243.9306071758983
0.28,11.729264491231463,-7.851872490165892,114.67495029774314,-0.9371334984623793,0.461416070302413,-20.033937627029605,0.9989540579767265,0.01975465351872108,-0.04059384792257112,0.0072583212263789545,-0.21710986192123696,-0.20841946737685454,-0.003911135618874006,1349.6656566665565,0.18531659510828247,0.13962634015954636,-0.13962634015954636,5.1750402643526305,247.43062194662085
